"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1885331992054726807","Fri Jan 31 17:10:39 +0000 2025","0","@altami_nd Bayi baru 3 bulan disuruh hamil lg. Ibu baby blues. Melihat keanehan toddler baru 1.5 tahun ~ 2 tahun yg masih ASI. Sekeluarga besar kompak bullying si Ibu. Mental health issue dr generasi ke generasi Narsisistik dll blm bisa putus lingkarannya.","1885375153758232832","","altami_nd","in","Tangerang, Banten","1","1","0","https://x.com/ambarao/status/1885375153758232832","54811709","ambarao"
"1885126442692001904","Fri Jan 31 00:42:22 +0000 2025","0","Seru banget emang kalau cowok bisa mens. Berarti bisa hamil juga dong yay!!! Cowok hamil! Horee cowok hamillll!!!! Pemandangan yg sangat indah bukan menyaksikan cowok hamil lalu melahirkan lalu baby blues ughhh seru sekaliiii... hidup cowok hamilll!!! Mari hamilkan cowok yeey!","1885126442692001904","","","in","Indonesia","0","0","0","https://x.com/drunkhys/status/1885126442692001904","71713608","drunkhys"
"1884347372559556886","Tue Jan 28 21:06:37 +0000 2025","0","Bedakan siap dibuahi dengan siap hamil siap menghidupi bayi dan siap mental menghadapi baby blues. Banyak resiko kehamilan (kematian) terutama untuk usia under 20! Kalau belum siap dan belum paham mending diem aja biar nggak makin bikin image cowok makin TOLOL!!","1884347372559556886","","","in","","0","0","0","https://x.com/Sinta_Amalia96/status/1884347372559556886","1241037190563414023","Sinta_Amalia96"
"1883134375782695039","Sat Jan 25 12:46:36 +0000 2025","23","umur till pas hamil di monochrome sama my hands in yours itu belasan. 18 &amp; 16 tahun. pasti baby blues ️ yg di my hands in yours itu gak terlalu sih (soalnya ada Ivan yg support n green flag) nah yg di monochrome WOYLAH ITU IVAN DI NY + MANTAN RED FLAG blm lagi kdrt ayah till‍️","1883134375782695039","","","in","Writing acc (kadang) ➡️ krisar","0","1","2","https://x.com/ranriteverse/status/1883134375782695039","1817664972878684160","ranriteverse"
"1883104434844226017","Sat Jan 25 10:47:38 +0000 2025","0","Makanya kalo ditanya kapan nikah tuh gw selalu pikir kesini dikasi cuti cmn 12 bln bhkn ad yg 6 bln even dikasi 12 6 blnnya 1/2 gaji resign gak ad duit bapaknya nyari duit ya gmn gak baby blues. Makanya gw mending mapan dulu biar tinggal ngomong lu hamil bsk resign ","1883104434844226017","","","in","","0","1","0","https://x.com/west_vurginia/status/1883104434844226017","1032271975","west_vurginia"
"1882644525060886821","Fri Jan 24 23:04:10 +0000 2025","0","@Sora87659879 @18fesss Jangan ya dek ya... Kalau tau Ibumu karakternya seperti itu better ga gambling dg masa depan rumah tanggamu dek. Bisa ngaruh ke mental pas hamil &amp; melahirkan. FYI saya pernah baby blues &amp; PPD karena lama tinggal serumah dg Ibu yg seperti itu. Untung suami baik &amp; pengertian.","1882927404420837443","","Sora87659879","in","","0","1","0","https://x.com/1anakcukup/status/1882927404420837443","1856151987789983744","1anakcukup"
"1882441210503250366","Thu Jan 23 14:52:13 +0000 2025","0"," apalah jadinya keluarga leogem tanpa si tetangga ya mels kebayang leogem pas lagi riweuh sama anaknya yg belum sekolah dan ngerengek minta ikut mereka... Benerr tapi kasian ntar rena bisa baby blues padahal gak hamil jujur in... #tellonym https://t.co/n4dNr6TmuG","1882441210503250366","","","in","archive di pin yahh","0","0","0","https://x.com/mashmellsss/status/1882441210503250366","1755249620668813312","mashmellsss"
"1882251265914339421","Thu Jan 23 02:32:53 +0000 2025","0","Jauh dr kakak2 hamil2 ya hamil sendiri ga ada ibu di julidin emak2 berisik. Aduh batin bgt. Smg aja ga baby blues sblm lahiran. Takut bgt mitoni nnti diomongi lagi Balenan ga sesuai jg di omongi Apalagi aqiqah Plis deh pgn balik jkt lagi y allah rasanya. Tentram","1882255153119793539","","QonitaAizati","in","Kudus","0","0","0","https://x.com/QonitaAizati/status/1882255153119793539","972111117232128007","QonitaAizati"
"1881281149840109658","Mon Jan 20 15:07:01 +0000 2025","0","@narainsight kk jian hamil? omg ga sabar liat baby blues nya ","1881357770676686915","","narainsight","in","🇵🇸 ★!  ","0","1","0","https://x.com/banyulawt/status/1881357770676686915","1865806811372392448","banyulawt"
"1881258662360240386","Mon Jan 20 08:33:12 +0000 2025","0","Setelah menikah gak lama langsung hamil terus ternyata dia belum siap hamil dan ngelakuin banyak cara buat gugurin anaknya tapi Allah masih pertahanin anak itu dan lahir. Pada saat lahir dia sangat baby blues sehingga gak mau ngakuin kalo itu anak dia selalu dicela anaknya","1881258664771846316","","lifeasarchive","in","","0","1","0","https://x.com/lifeasarchive/status/1881258664771846316","115909517","lifeasarchive"
"1880968798892876008","Sun Jan 19 13:58:26 +0000 2025","5","Saat hamil dan melahirkan seorang perempuan butuh dukungan psikologis yang cukup akibat kondisi hormonalnya. Dan dengan pola kekerabatan di Indonesia bisa dibilang itu terpenuhi tapi ketika pola hidup manusia bergeser dari komunal ke soliter maka baby blues menjadi ada.","1880978123485004287","","BuddhisGL","in","Di Hatimu","0","2","0","https://x.com/BuddhisGL/status/1880978123485004287","1123888311658004481","BuddhisGL"
"1880968798892876008","Sun Jan 19 13:49:47 +0000 2025","5","Zaman dulu atau saat ini di daerah yang kekerabatan dan kekeluargaannya bagus tak pernah terdengar ada yang baby blues pasca melahirkan karena sejak hamil sampai melahirkan ibu hamil dapat perhatian dari keluarga dan tetangga jadi tak merasa berjuang sendiri seperti bule.","1880975946268000456","","BuddhisGL","in","Di Hatimu","0","1","0","https://x.com/BuddhisGL/status/1880975946268000456","1123888311658004481","BuddhisGL"
"1880947147136188889","Sun Jan 19 13:44:49 +0000 2025","6","@convomf Amat sangat di sayangkan karena keegoisan ortu jdi nya seperti ini padahal posisi cewe udh hamil. Kasian nnti nasib anak nya pas lahir gimana kalau gada ayahnya dan di takutkan si ibu nnti bisa kena baby blues","1880974698265321902","","convomf","in","","0","3","0","https://x.com/strwsweetie/status/1880974698265321902","1585133161369198592","strwsweetie"
