"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1890860046566744476","Sat Feb 15 20:25:40 +0000 2025","0","Mood newmom lebih parah ternyata daripada mood bumil. Ga salah banyak yg baby blues. Sehat2 para new mom!","1890860046566744476","","","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/desnaDM/status/1890860046566744476","943200264","desnaDM"
"1888601413833707729","Sun Feb 09 14:50:40 +0000 2025","0","Pompa Asi Handsfree https://t.co/SUlOldYYBV kado lahiran pompa asi eping mom pumping kado bestie asi ekslusif sectio caesar ibu bekerja working mom wfh wfc scbd sudirman ngantor krl mrt irt hamil bumil spill linknya kak baby blues maternity gajian nyicil https://t.co/2orUy62xdI","1888601413833707729","https://pbs.twimg.com/media/GjWo-S1boAEgu6R.jpg","","in","","0","0","0","https://x.com/livynlune/status/1888601413833707729","1555558313688895489","livynlune"
"1882644525060886821","Fri Jan 31 02:41:13 +0000 2025","0","@haziif__ @dewi_ehheh24 @18fesss Ini mungkin sepele tapi punya laki yg ngadain ART saat lu mau lahiran smpe anak lu lahir dan memastikan semua kebutuhan bumil dan busui adalah hal yg bakal meminimalisir baby blues. Wanita klo baru punya bayi bakal butuh adaptasi baru dan itu ga mudah","1885156353683136679","","haziif__","in","","0","0","0","https://x.com/TukangU39497045/status/1885156353683136679","1325491098542768131","TukangU39497045"
"1879643182897729795","Thu Jan 16 23:13:39 +0000 2025","0","@yimsiwanr @1 KAGA BOLE masi ada 1000 naskah sikopet nyang hrus kk baca KASIAN TEMENKU JADI BUMIL MALAH MENYENDIRI &lt;/3 tkut kena baby blues kalau uda lairan YANG KOCAK apa aja bole ","1880030687727874401","","yimsiwanr","in","azzusaurus ; Determinación","0","1","0","https://x.com/seeunyaw/status/1880030687727874401","4826608287","seeunyaw"
"1874757694390956406","Thu Jan 02 11:26:04 +0000 2025","0","@kakaknyajongu gmn ye kak aku soalnya gemesan sama bumil kakakku hamil aja ku cubit terus bcs aku gemes bgt tp aku gampang baby blues kalo liat tingkah bocil2 ","1874779186818379935","","kakaknyajongu","in","","0","1","0","https://x.com/mantumamayuta/status/1874779186818379935","1100204428907360256","mantumamayuta"
"1838398171388744072","Tue Sep 24 14:11:37 +0000 2024","1","@akakanisis @Syifaaaaaa9_ @lilssst @txtdrimedia ppd bang bukan dpp Bisa aja kan ibunya stress tapi ga ada yg sadar ga ada yg support sekelilingnya Ada yg pasca lahiran bundir depresi sampe nyakitin anaknya. itu karena baby blues atau bahkan krn ppd. Emang sebahaya itu makanya klo bumil/melahirkan/busui butuh support penuh","1838582064301642116","","akakanisis","in","Star Stream","0","1","0","https://x.com/loey_jd/status/1838582064301642116","1106942991187365889","loey_jd"
"1835353707820765675","Sun Sep 15 17:08:05 +0000 2024","0","@WhatIchaThinks lengah dikit dikomen bumil baby blues","1835364982659449003","","WhatIchaThinks","in","Sungai Gumut, Selangor","0","0","0","https://x.com/dafpus/status/1835364982659449003","2386290180","dafpus"
"1817842548737785972","Mon Jul 29 08:40:17 +0000 2024","0","Sayangnya aku kurang suka dengan apa yang dilakukan Kayla - iya sih namanya juga bumil busui dengan baby blues tapi kadang aku keseeeel dia suka egois juga (sekali lagi harap maklum) makanya ga aku kasih bintang 4.5 ke atas.","1817842572083261778","","IAmSleepyReader","in","Indonesia","0","1","0","https://x.com/IAmSleepyReader/status/1817842572083261778","1138361846182760450","IAmSleepyReader"
"1813777205304168753","Thu Jul 18 05:28:53 +0000 2024","0","@topazday Eh eh coba ditanya takutnya baby blues ini bumil...mukanya sedih amat","1813808136991698958","","topazday","in","","0","1","0","https://x.com/AltBujo/status/1813808136991698958","1667350699292917761","AltBujo"
"1808513989992964600","Wed Jul 03 14:51:50 +0000 2024","0","meet my aunt's cats milo and choco dua²nya cewek choco bumil guysss milo manja banget ya Tuhan dia juga suka perhatian suaranya lucu meongnya malah e e si choco diam tapi suka dielus mungkin lagi baby blues https://t.co/KOyu8Qnem0","1808513989992964600","https://pbs.twimg.com/media/GRkh44UbIAAaxZI.jpg","","in","idn/eng | 3teen | rcbyf ♡","0","0","0","https://x.com/dollettewony/status/1808513989992964600","1371334512500609024","dollettewony"
"1789730999758213321","Mon May 13 07:44:00 +0000 2024","3","@__longbaobao Ketika saya bilang keseluruhan itu indah bukan berarti semua elemen dalam keseluruhan itu indah. Yg mensyaratkan keindahan itu bumil harus kena baby blues siapa? Resiko selalu ada dan pengorbanan itu keniscayaan hidup","1789924539507343750","","bonneetoile_","in","Rakhine","0","1","0","https://x.com/produkzaman/status/1789924539507343750","1653958865564872704","produkzaman"
"1782999377109532816","Wed Apr 24 05:10:04 +0000 2024","0","@hehehesti Kemarin aku liat vt ada bumil yg bikin kesepakatan sama suami kalau 1 bulan setelah lahiran dia gamau dijenguk sama siapapun dia mau nenangin diri sebagai ibu baru dan gamau ngalamin baby blues juga bukan gamau dijenguk tapi dia mau orang terdekat aja yg dateng","1783000432278962308","","hehehesti","in","","0","1","0","https://x.com/bekiwcot/status/1783000432278962308","744937362","bekiwcot"
"1752989371937214956","Thu Feb 01 09:36:49 +0000 2024","0","56 Persen Bumil Indonesia Kena Baby Blues Syndrome Malang https://t.co/2PokPw3LYe","1752989371937214956","","","in","Malang, Jawa Timur","0","0","0","https://x.com/cityguide911fm/status/1752989371937214956","1132104912685244416","cityguide911fm"
"1746134361093894156","Sat Jan 13 18:40:55 +0000 2024","0","@tanyarlfes Sender kalo butuh temen cerita boleh DM saya ya. Jangan terlalu setress kalo lagi hamil bentar lagi udah ketemu dede bayi kamu jangan sampe kena baby blues juga ya. Sehat-sehat terus bumil.","1746240928841642365","","tanyarlfes","in","","0","0","0","https://x.com/gejeblos/status/1746240928841642365","1407211833899962372","gejeblos"
