"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1857464212936863908","Fri Nov 15 16:42:36 +0000 2024","0","kayak tiba-tiba tiap liat bumil refleks ngusap perutnya sendiri atau randomly dateng ke day care atau tempat lain yang biasa dikunjungi orang tua sama anaknya. :( (maaf tida menerima mpreg gue mau ngeliat noa cantik-cantik depresi).","1857464225595269240","","zeealkana","in","24↑ she/they.","0","1","0","https://x.com/zeealkana/status/1857464225595269240","1461167964","zeealkana"
"1838398171388744072","Tue Sep 24 14:11:37 +0000 2024","1","@akakanisis @Syifaaaaaa9_ @lilssst @txtdrimedia ppd bang bukan dpp Bisa aja kan ibunya stress tapi ga ada yg sadar ga ada yg support sekelilingnya Ada yg pasca lahiran bundir depresi sampe nyakitin anaknya. itu karena baby blues atau bahkan krn ppd. Emang sebahaya itu makanya klo bumil/melahirkan/busui butuh support penuh","1838582064301642116","","akakanisis","in","Star Stream","0","1","0","https://x.com/loey_jd/status/1838582064301642116","1106942991187365889","loey_jd"
"1826856159656939553","Mon Aug 26 15:25:22 +0000 2024","0","@dondihananto Iye bang bully terus sampe bumil nya depresi Kan itu tujuan nya","1828091372882297138","","dondihananto","in","⋆¸*ೃ☼875 & +x+ ⋆⑅˚₊","0","0","0","https://x.com/nickjudyzi/status/1828091372882297138","1152616502102675457","nickjudyzi"
"1814180403210862949","Sat Jul 20 02:40:06 +0000 2024","0","@yoyouzhii Modelan mertua gini mah pasti gth ajh terus gak akan berubah gak kebayang selama bareng2 itu bumil pasti depresi punya mertua modelan gth.","1814490436591145132","","Nyonyondh","in","Paris van Java,West java","0","0","0","https://x.com/Nyonyondh/status/1814490436591145132","1557005424","Nyonyondh"
"1794376621748814176","Sat May 25 14:34:59 +0000 2024","0","Halimah Masuk Daftar TikTok Change Makers 2024 Berbagi Proses Pulih dari Depresi Pascamelahirkan Halimah juga menceritakan... #NewsUpdate #Kesehatan #TikTok #TikTokChangeMakers2024 #Halimah #PostpartumDepression #Kehamilan #Bumil https://t.co/QBu5BgASR8 https://t.co/MKVLyohZB2","1794376621748814176","https://pbs.twimg.com/media/GObnrMjbUAAyoRs.jpg","","in","","0","0","0","https://x.com/arahkitamedia_/status/1794376621748814176","1741804247933665280","arahkitamedia_"
"1769307048146358450","Sun Mar 17 10:17:27 +0000 2024","0","di grup bumil gue kmrn ada mahasiswi gabung trs dia bilang kalo dia hamil akibat pemerkosaan dan depresi berat trs td dapet kabar dia meninggal akibat overdosis obat2an EMOSI BGT GUE BAJINGAN EMG YG MERKOSA ","1769307048146358450","","","in","dimana-mana hatiku senang ","0","0","0","https://x.com/kembarannyabora/status/1769307048146358450","1647601616","kembarannyabora"
"1759080026790854676","Sun Feb 18 04:58:55 +0000 2024","0","Makanya nonton debat dong bjir prabowo sendiri yg bilang perempuan bakal dapet makan siang gratis juga. Bahkan dia pernah bilang cara mengatasi anak2 jaman sekarang yg lagi depresi yaitu dengan diberi makanan yg bergizi atau maksi gratis. Bukan cmn anak sekolah dan bumil aja.","1759080026790854676","","","in","","0","0","0","https://x.com/parksimpcrn/status/1759080026790854676","1504290174460518403","parksimpcrn"
"1757941961615630637","Thu Feb 15 02:26:33 +0000 2024","1","@friedelcraft woh berarti depresi yang hanya dialami oleh bumil tok ya?? tapi cobaen pean cek deh mas nak quote tweet jurnal mau. nang replyne enek seng ngasih testi semenjak konsumsi vit D ngebantu dekne lepas dari obat2an psikotropika(?)","1757954521203159046","","friedelcraft","in","Surabaya, Jawa Timur","0","1","0","https://x.com/rzvfkk/status/1757954521203159046","818459507118325762","rzvfkk"
"1754143084714365227","Sun Feb 04 15:30:30 +0000 2024","0","@zarryhendrik Udh nikah belon sih? BuMil itu kompleks loh seorg ibu bisa melahirkan usia prematur hanya krn dia stress/depresi. Dan bayi prematur rentan stunting. Bukan cm soal gizi bagus doang. Dipikir ngumpulin BuMil utk makan siang gratis semua masalah terselesaikan","1754165540317524249","","BeliKoinId","in","Bandung","0","0","0","https://x.com/setopankahiji/status/1754165540317524249","1078232928","setopankahiji"
"1747076669666709645","Tue Jan 16 03:35:13 +0000 2024","3","@tanyakanrl Buat yg bingung kenapa jawabnya beda-beda karena setiap bumil punya gejalanya masing-masing punya pengalaman yang berbeda. Jadi kalo nanti hamil ada orang komen negatif kok gak sama kayak dia yg b aja gak usah digubris. Bumil stress bisa menularkan depresi ke janin serius.","1747100164840734775","","tanyakanrl","in","timeline","0","1","2","https://x.com/tortillatte/status/1747100164840734775","2470253994","tortillatte"
"1745429252793872833","Thu Jan 11 13:00:44 +0000 2024","0","Untuk kesehatan jantung melancarkan darah kesehatan bumil mengurangi gejala depresi bagus untuk tulang dan kulit mengurangi sakit mata radang sendi dan resiko gejala alzheimer. https://t.co/IrS3chXB1w","1745430544115261832","https://pbs.twimg.com/media/GDkD01KasAAcqaA.jpg","Leobebbe","in","Kota Malang, Jawa Timur","0","2","0","https://x.com/Leobebbe/status/1745430544115261832","93560205","Leobebbe"
"1724421295352225833","Tue Nov 14 13:37:29 +0000 2023","0","Bumil lebih rawan depresi xel ","1724421295352225833","","","in","","0","0","0","https://x.com/syisehun99/status/1724421295352225833","534374590","syisehun99"
"1719902865219878972","Thu Nov 02 02:22:53 +0000 2023","2","Jika bumil merasakan tanda atau gejala awal depresi yuk ceritakan ke pak suami keluarga teman bisa juga konsultasikan ke psikolog atau psikiater Depresi bukan hal yg memalukan atau perlu ditutupi. Risikonya bisa diminimalisir jika mendapat penanganan secepatnya ","1719902871179940016","","Ibupedia","in","","0","1","0","https://x.com/Ibupedia/status/1719902871179940016","1856252863","Ibupedia"
"1719560413820645581","Wed Nov 01 03:42:05 +0000 2023","1","pls jangan hujat bumil bumil gaboleh dibikin depresi https://t.co/JTZMSZrLA6","1719560413820645581","https://pbs.twimg.com/media/F90bFMVbgAAG810.jpg","","in","eng/ind","1","7","0","https://x.com/AespaGisellie/status/1719560413820645581","1695984632158986240","AespaGisellie"
"1717568993446580293","Fri Oct 27 00:35:51 +0000 2023","1","@krzvnism @tanyarlfes Intinya dia gak siap punya istri bipolar. Gak ngerti gmn cara menyikapinya. Jd orang dg bipolar itu gak enak bgt. Apalagi pas hamil pasca lahiran ditambah serumah dg mertua. Pas kondisi normal aja bs ngalamin episode manik dan depresi. Ini tambah krn hormon bumil dan busui.","1717701608816128468","","cherronisa","in","Indonesia","0","0","0","https://x.com/cherronisa/status/1717701608816128468","427443326","cherronisa"
