"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1880169933927280900","Fri Jan 17 08:28:49 +0000 2025","0","5. Tidur yang Cukup dan Berkualitas Kurang tidur dapat memperburuk kecemasan dan meningkatkan risiko depresi prenatal. Beberapa tips untuk tidur yang lebih baik selama kehamilan: Gunakan bantal hamil untuk menopang tubuh dan mengurangi ketidaknyamanan. Batasi penggunaan","1880170398458999264","","Phytagorasi","in","Las Vegas, NV","0","1","0","https://x.com/Phytagorasi/status/1880170398458999264","870665658937163776","Phytagorasi"
"1880169933927280900","Fri Jan 17 08:28:31 +0000 2025","0","4. Jaga Pola Makan Sehat Nutrisi yang baik berperan penting dalam kesehatan mental selama kehamilan. Beberapa nutrisi yang mendukung keseimbangan emosi: Omega-3 (ikan salmon chia seed walnut): Membantu fungsi otak dan mengurangi risiko depresi prenatal. Vitamin B6 (pisang ","1880170320776294847","","Phytagorasi","in","Las Vegas, NV","0","1","0","https://x.com/Phytagorasi/status/1880170320776294847","870665658937163776","Phytagorasi"
"1877223792633668033","Fri Jan 10 02:01:10 +0000 2025","1","@18fesss Diri sendiri: tidak. enak dan resikonya ga sebanding. enak 30 menitan resiko kehamilan ims depresi (stigma masyarakat) dosa dilaknat tuhan dan sangkih banyaknya saya gak bisa nulis","1877536128066269535","","18fesss","in","","0","0","0","https://x.com/alir4d/status/1877536128066269535","76390338","alir4d"
"1877353239588601984","Thu Jan 09 13:54:31 +0000 2025","1","7. Vitamin D Vitamin D membantu penyerapan kalsium dan mendukung pertumbuhan tulang janin. Sumber vitamin D meliputi sinar matahari ikan salmon ikan sarden telur dan daging merah. Kekurangan vitamin D selama kehamilan dapat meningkatkan risiko komplikasi seperti depresi","1877353260698448252","","narayups","in","Indonesia","0","1","0","https://x.com/narayups/status/1877353260698448252","442446527","narayups"
"1876189625489977497","Tue Jan 07 01:28:59 +0000 2025","0","@Sentjoko @allah Deformitas wajah pada sifilis kongenital dapat mencakup hidung pelana (saddle nose) yaitu depresi pada pangkal hidung dan perubahan bentuk tulang wajah lainnya. Kondisi ini merupakan manifestasi dari infeksi sifilis yang tidak diobati selama kehamilan yang kemudian","1876440864094105912","","Sentjoko","in","","0","0","0","https://x.com/AlfredApet57221/status/1876440864094105912","1726562136892309504","AlfredApet57221"
"1875157842899927452","Sun Jan 05 01:40:16 +0000 2025","0","@kumparan kalo kehamilan seperti ini dicemooh lingkungan dan berisiko depresi + bundir mending legalisasi aborsi opsinya cuma itu warga menutup mulutnya yg julid atau legalisasi aborsi","1875718929865437472","","kumparan","in","Kota Manado, Sulawesi Utara","0","1","0","https://x.com/falhallateam/status/1875718929865437472","1841426756034789376","falhallateam"
"1874310666410221899","Wed Jan 01 04:24:27 +0000 2025","1","**Psikologi dan Biologi:** - **Faktor Biologis**: Wanita mengalami perubahan hormonal yang bisa mempengaruhi kesehatan mental seperti pada masa menstruasi kehamilan atau menopause yang bisa menjadi sumber stres atau depresi.","1874310696139448628","","mbyas_","in","","0","1","0","https://x.com/mbyas_/status/1874310696139448628","781697565729390592","mbyas_"
"1874310106734879170","Wed Jan 01 04:22:10 +0000 2025","1","2.Kesiapan Mental dan Emosional** - **Manajemen Stres**: Belajar teknik relaksasi atau meditasi untuk mengelola stres selama kehamilan. - **Kesehatan Mental**: Edukasi tentang kesehatan mental termasuk risiko depresi postnatal dan cara mencegah atau mengatasinya. -","1874310118927720741","","mbyas_","in","","0","1","0","https://x.com/mbyas_/status/1874310118927720741","781697565729390592","mbyas_"
"1873170500165484668","Sun Dec 29 00:53:43 +0000 2024","0","Ah ga juga. Temenku pengidap depresi dan nambah bipolar juga. Jatuh bangun berobat dan mengendalikan diri. Alhamdulillah ketemu jodohnya udah nikah dan skrg lg hamil. Struggle kehamilan dia ini karena dia masih bergantung sama obat tp hrus stop karena hamil. Tp dia happy skrg","1873170500165484668","","","in","di atas bumi","0","0","0","https://x.com/sandicalla/status/1873170500165484668","1536722097644265472","sandicalla"
"1871937886326865965","Wed Dec 25 15:15:45 +0000 2024","34","Ibu hamil Preeklamsi selama kehamilan karna 1. Depresi kurang kasih sayang 2. Rajin makan karbo minim protein 3. Kurang minum 4. Kurang makan natrium alami yaitu garam. Lebih doyan makan micin @dokter_kampung Protein fungsinnya mengikat cairan dan natrium.","1871937886326865965","","","in","","1","2","10","https://x.com/inorii_yuzuriha/status/1871937886326865965","1521734374307233792","inorii_yuzuriha"
"1871025748200550545","Mon Dec 23 02:51:16 +0000 2024","0","Beragam Manfaat Vitamin D Menurut penelitian manfaat vitamin D tidak hanya menjaga kekuatan tulang tapi juga mampu mengurangi risiko sejumlah penyakit di antaranya: 1. Kanker 2. Diabetes 3. Kehamilan 4. Multiple sclerosis 5. Depresi","1871025754060042438","","maringetweett","in","","0","0","0","https://x.com/maringetweett/status/1871025754060042438","1810541843131875328","maringetweett"
"1867942800937066893","Sun Dec 15 05:03:39 +0000 2024","1","@eeqzzzz @justcallyna @kegblgnunfaedh penyebab skizo itu belum diketahui secara pasti dan depresi itu cuma kemungkinan terakhir penyebabnya. penyebab utamanya faktor genetik ketidak seimbangan kimia pada otak komplikasi saat kehamilan/proses persalinan. bisa dibilang bawaan dr lahir lebih besar","1868159968534487433","","eeqzzzz","in","","0","1","0","https://x.com/sukakentank/status/1868159968534487433","1346085158982537216","sukakentank"
"1860426221869518989","Sat Nov 23 20:55:53 +0000 2024","1","5. Membantu mencegah depresi Mendapatkan asupan folat yang cukup tidak hanya penting selama kehamilan tapi nutrisi tersebut juga diperlukan untuk mencegah depresi. Mengonsumsi buncis rebus yang kaya akan folat bisa membantu mengurangi jumlah homosistein dalam tubuh. Pasalnya ","1860427071291555965","","yasminzayda","in","Yogyakarta, Indonesia","0","1","0","https://x.com/yasminzayda/status/1860427071291555965","449776015","yasminzayda"
"1858333136213729282","Mon Nov 18 02:17:52 +0000 2024","1","5. Membantu mencegah depresi Mendapatkan asupan folat yang cukup tidak hanya penting selama kehamilan tapi nutrisi tersebut juga diperlukan untuk mencegah depresi. Mengonsumsi buncis rebus yang kaya akan folat bisa membantu mengurangi jumlah homosistein dalam tubuh. Pasalnya ","1858333775266197800","","strlgirls","in","","0","1","0","https://x.com/strlgirls/status/1858333775266197800","593619630","strlgirls"
"1854422313296621954","Thu Nov 07 07:15:07 +0000 2024","1","Kompas Icon Eksklusif Angka Kelahiran Sempat Depresi karena Ditanya: Kapan Punya Anak? (18) Pasutri perlu menghindari stres untuk menaikkan potensi kehamilan. Pertanyaan kapan punya anak justru membuat stres. Baca Kompas https://t.co/tnFnoQACSB @hariankompas","1854422313296621954","","","in","","0","0","0","https://x.com/tatisamhadi/status/1854422313296621954","1445984430258982913","tatisamhadi"
"1853623990159597746","Tue Nov 05 13:20:38 +0000 2024","0","@RodriChen Anda cari dan baca saja jurnalnya tentang pacaran dan perilaku seks bebas sudah banyak termasuk korelasi antara pacaran dengan depresi remaja. Sebagian besar kehamilan diluar nikah akibat pacaran juga sudah banyak. Mau menolak seperti apa lagi?Buat jurnal ilmiahnya..","1853789521365836013","","RodriChen","in","","0","1","0","https://x.com/ikhwansalaff/status/1853789521365836013","981826421818458113","ikhwansalaff"
"1850461988792787378","Sun Oct 27 08:58:14 +0000 2024","21","4. Postpartum Depression Melansir Very Well Mind jenis ini hanya dialami oleh wanita. Hal ini disebabkan adanya perubahan hormon pada wanita saat kehamilan yang menyebabkan depresi saat menjalani kehamilan atau setelah persalinan.","1850461997860638846","","neksopoi","in","","0","1","20","https://x.com/neksopoi/status/1850461997860638846","1707325167796715520","neksopoi"
"1847204795779813598","Fri Oct 18 09:15:18 +0000 2024","0","Metode ini kerap dipakai untuk mengatasi kondisi seperti: 1. Masalah seksual 2. Insomnia 3. Serangan panik 4. Kecanduan merokok 5. Kehamilan dan melahirkan (hypnobirthing) 6. Fobia atau ketakutan 7. Gangguan tidur 8. Depresi","1847204802335580446","","Ibunda_id","in","Jakarta, Indonesia","0","1","0","https://x.com/Ibunda_id/status/1847204802335580446","3018123564","Ibunda_id"
"1847120199079879129","Fri Oct 18 03:39:07 +0000 2024","2","Penyakit dr cervical root syndrome episode depresi dgn gejala somatik kehamilan resiko tinggi bekas sc 3x Post hipokalemia subplacental hematome varises d uterus Tinggal nunggu apa nya ya? ","1847120199079879129","","","in","Kota Bogor, Jawa Barat","0","0","0","https://x.com/dapursiBaim/status/1847120199079879129","29342207","dapursiBaim"
"1847062125493342367","Thu Oct 17 23:48:32 +0000 2024","0","Ibu hamil membutuhkan lebih banyak asupan zat besi dan asam folat untuk mendukung pertumbuhan janin. Kekurangan zat besi selama kehamilan dapat menyebabkan anemia bayi lahir prematur berat badan lahir rendah hingga depresi pascamelahirkan.","1847062167776010744","","ungkpanrasa","in","","0","1","0","https://x.com/ungkpanrasa/status/1847062167776010744","2739893547","ungkpanrasa"
"1846289274901352530","Tue Oct 15 20:37:20 +0000 2024","0","Bebas sebelum nikah hidup perempuan akan fine2 aja? Atau anak tanpa ayah pun akan fine2 aja. D Amerika kurang liberal dan canggih apa? Tetep aja kasus kehamilan remaja tinggi kdrt jg tinggi anak2 yg depresi jg tinggi.","1846289277233385659","","_sundaymorningJ","in","Bandung","0","0","0","https://x.com/_sundaymorningJ/status/1846289277233385659","1426927703928705026","_sundaymorningJ"
"1845317864338882592","Tue Oct 15 03:37:31 +0000 2024","0","@hnirankara @Folkomega Infeksi Covid jangka panjang Diabetes dan kadar gula darah rendah ( hipoglikemia ). Kondisi kesehatan mental seperti kecemasan atau depresi . Kondisi neurodivergen seperti ADHD dan gangguan spektrum autisme . Perubahan hormonal seperti selama kehamilan atau menopause. Org2 dgn..","1846032629688422485","","KaisarRia","in","Ujung Pelangi","0","1","0","https://x.com/KaisarRia/status/1846032629688422485","92463239","KaisarRia"
"1845373295832727830","Sun Oct 13 07:59:49 +0000 2024","0","Menurut Marlina beberapa faktor tersebut dapat mengakibatkan ibu hamil mengalami kecemasan stress hingga depresi. Menurutnya ibu hamil perlu mendapatkan dukungan dari keluarga dan orang terdekat selama masa kehamilan dan persalinan untuk menjaga kesehatan jiwanya.","1845373866757193903","","Harian_Jogja","in","Yogyakarta, Indonesia","0","0","1","https://x.com/Harian_Jogja/status/1845373866757193903","118371948","Harian_Jogja"
"1843849980513239398","Wed Oct 09 03:04:50 +0000 2024","0","Anemia defisiensi besi yang parah selama kehamilan juga meningkatkan risiko kelahiran prematur bayi terlahir dengan berat badan yang rendah dan depresi postpartum.","1843850076806094870","","dinkesjabar","in","Jl. Pasteur No. 25 Bandung","0","1","0","https://x.com/dinkesjabar/status/1843850076806094870","1963724934","dinkesjabar"
"1835868778413830352","Tue Sep 17 02:30:00 +0000 2024","0","Studi: Polusi Udara Selama Kehamilan Tingkatkan Risiko Depresi Pasca Persalinan hingga 3 Tahun https://t.co/KPfh7HXbZc","1835868778413830352","","","in","Jakarta Capital Region","0","0","0","https://x.com/akuratco/status/1835868778413830352","786549338818224128","akuratco"
"1835175421513748492","Sun Sep 15 04:34:51 +0000 2024","0","Awas! Paparan polusi udara selama kehamilan tingkatkan risiko depresi https://t.co/LRz0sBuItB","1835175421513748492","","","in","Jl. RTA Milono Km 2,5 Palangka","0","0","0","https://x.com/Antara_Kalteng/status/1835175421513748492","2421788773","Antara_Kalteng"
"1834809129971466744","Sat Sep 14 04:19:20 +0000 2024","1","Polusi Udara Selama Kehamilan Dapat Meningkatkan Risiko Depresi Pasca Persalinan https://t.co/YyiNtcvLCa","1834809129971466744","","","in","Kota Surabaya, Jawa Timur","0","1","0","https://x.com/e100ss/status/1834809129971466744","848614550","e100ss"
"1834785407495708700","Sat Sep 14 02:45:04 +0000 2024","0","Resiko Depresi Bisa Meningkat Selama Kehamilan Akibat Terpapar Polusi https://t.co/lWFlm3Sqki #beritajogja #jogja #jogjaistimewa https://t.co/5hK8oM2F4W","1834785407495708700","https://pbs.twimg.com/media/GXZ3mtMbwAMjf3n.jpg","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/Harian_Jogja/status/1834785407495708700","118371948","Harian_Jogja"
"1833523007383605570","Tue Sep 10 15:08:44 +0000 2024","2","Menurunnya libido (gairah seksual) wanita merupakan masalah yang sering terjadi terutama pada beberapa fase kehidupan. Kondisi ini bisa disebabkan oleh beberapa faktor seperti masalah dengan pasangan kelelahan kehamilan menopause stres depresi atau penyakit tertentu.","1833523007383605570","","","in","Jawa Timur, Indonesia","0","0","0","https://x.com/Simbok_Dharmi/status/1833523007383605570","1508676971584421889","Simbok_Dharmi"
"1824699374422855823","Sat Aug 17 06:51:38 +0000 2024","13","5. Membantu mencegah depresi Mendapatkan asupan folat yang cukup tidak hanya penting selama kehamilan tapi nutrisi tersebut juga diperlukan untuk mencegah depresi. Mengonsumsi buncis rebus yang kaya akan folat bisa membantu mengurangi jumlah homosistein dalam tubuh. Pasalnya ","1824700599176401368","","strlgirls","in","","0","1","0","https://x.com/strlgirls/status/1824700599176401368","593619630","strlgirls"
