"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1821541328079163581","Thu Aug 08 13:37:49 +0000 2024","0","Padahal sebelum melahirkan udah nyiapin mental banget buat ngurus baby newborn. Ternyata itu belum cukup. Aku dihantam hormon habis2an. Ini lebih sensitif dari waktu hamil. Rasanya bingung bingung liat anak nangis bingung harus ngapain bingung takut anak kenapa2 ","1821541328079163581","","","in","Bogor, Jawa Barat","0","1","0","https://x.com/ayumispa/status/1821541328079163581","441428925","ayumispa"
"1818804457305784754","Thu Aug 01 00:22:29 +0000 2024","6409","Stlh berfikir semalaman anakku jgn jd atlit ya nak tp kl kamu kuat gapapa soalnya sepertinya mental mamakmu yg gakuat apa hormon hamil aja ya biasanya aku si plg cool ","1818804457305784754","","","in","Indonesia","73","112","247","https://x.com/shanju/status/1818804457305784754","432654924","shanju"
"1811601833556869420","Fri Jul 12 03:21:51 +0000 2024","0"," Hamil &amp; menyusui itu merusak psikis/mental perempuan = BIG YES. Hormon yg ga stabil di dua masa itu bakal bikin psikis terasa diombang-ambing. Apalagi kalau ditambah dg landasan iman yg kurang kuat &amp; lingkungan yg gak mendukung.... Tamat secara mental hanya menunggu waktu.","1811601839781294267","","todaeshipper","in","Indonesia","0","1","0","https://x.com/todaeshipper/status/1811601839781294267","359850887","todaeshipper"
"1811383528325816502","Thu Jul 11 12:54:21 +0000 2024","0","&gt; 9 bulan hamil proses pemulihan 40 hr nifas bahkan lebih dimana mempengaruhi bgt hormon nya (ditambah omongan sana sini) belum lagi menyusui agar asi lancar juga sangat mempengaruhi pikirannya. Jadi kalau kmu jahat baik itu secara mental ataupun fisik kasian bgt hdpnya dia.","1811383528325816502","","","in","","0","0","0","https://x.com/febyfamela/status/1811383528325816502","84246233","febyfamela"
"1799735559277137955","Tue Jun 11 01:16:11 +0000 2024","4","@__longbaobao @PakarINTELek @mulyadi89mulya Mungkin dikiranya hamil dan melahirkan itu cuma sekadar perut melendung terus keluar deh anaknya tipikal laki gampangin hamil. pasti gak percaya dia kalo dibilang hamil itu bisa bikin fisik mental hormon acak acakan banget apalagi kalo gaada support yang seharusnya didapatkan","1800336190358622273","","bonneetoile_","in","","0","1","0","https://x.com/achaziraa/status/1800336190358622273","1266509107202146305","achaziraa"
"1788860337225372040","Fri May 10 23:35:28 +0000 2024","0","@tanyakanrl Hamil emg gak gampang nder. Fisik &amp; hormon berubah. Otomatis ngaruh ke mental jg jd lebih sensitif. Tiap wanita beda2 pengalamannya nder. Di aku trimester 1 itu paling berat. Mual muntah tiap hari. Klo trimester 3 berat ngapa2in. Tidur susah BAB susah kaki bengkak ","1789076820668842285","","tanyakanrl","in","","0","1","0","https://x.com/ramitaami/status/1789076820668842285","1275016326507945986","ramitaami"
"1788860337225372040","Fri May 10 23:02:16 +0000 2024","0","@tanyakanrl Pokonya merasa berubah bgt karena hamil in a bad n a good way. Badnya hormon bnr2 diacak2 selama kehamilan fisik mental kena bahkan katanya stlh melahirkan pun ga akan bisa kembali spt sblm hamil &amp; melahirkan. Goodnya..","1789068466538119276","","noviawah_","in","","0","1","0","https://x.com/noviawah_/status/1789068466538119276","390675708","noviawah_"
"1788904972895342922","Fri May 10 12:12:36 +0000 2024","2","Iya. Janin itu menyerap nutrisi dari ibunya makanya nutrisi yang dikonsumsi sama ibu hamil tuh lebih kompleks. Jadi kalau gak punya uang buat memenuhi nutrisi janin dan mental buat ngerasin gejolak perubahan hormon jangan punya anak. Bisa-bisa anak dan ibu jadi korban.","1788904972895342922","","","in","","0","1","0","https://x.com/callmekyla___/status/1788904972895342922","1600150873912397825","callmekyla___"
"1788860337225372040","Fri May 10 11:52:47 +0000 2024","0","@tanyakanrl Hamil emang menyakitkan. Badan hormon mental berubah. Melahirkan berkali-kali lipatnya; mulai dr kontraksi pembukaan sampai prosesnya. Mau itu normal/pun caesar sama2 sakit saat &amp; setelahnya. PDilanjut dg menyusui waktu aktivitas berubah menyesuaikan bayi","1788899986379542974","","tanyakanrl","in","","0","0","0","https://x.com/fairishine/status/1788899986379542974","1692538133169258498","fairishine"
"1788367923524088194","Thu May 09 16:13:39 +0000 2024","3","@monikahsmanime Ricis baru lahiran.. menikah.. kalian yg belum nikah dan lahiran ga bakalan paham deh SEGEDE apa perjuangan dan seacak2 apa mental lu dikacaukan hormon hamil lahiran dan postpartum. Lu punya suami kayak malaikat aja lu bisa depresi. Apalagi suaminya kayak tai gitu. Hancur woyyy","1788603246145319189","","wigglywispymom","in","","3","1","0","https://x.com/wigglywispymom/status/1788603246145319189","1361335344273055744","wigglywispymom"
"1787446197382508715","Mon May 06 11:35:57 +0000 2024","0","hormon hamil lebih buruk dri hormon mens bjir. soalnya ril selama 9 bulan dan lu gtau kpan dtengnya tu mental breakdown tba2. udh gtu dtengnya brengan sm mual sakit kepala badan nyeri2 dahlahhhh blm msuk tm 2 tpi ko ya lelah sekalii ","1787446197382508715","","","in","Jeddah, KSA","0","0","0","https://x.com/matchasan_/status/1787446197382508715","835868966677532672","matchasan_"
"1787347538145939839","Mon May 06 05:05:12 +0000 2024","0","Bruh. Tapi hamil kedua menurut gue akan lebih22222 sangat22222 butuh kesiapan yang lebih ya karena lo udah ada 1 manusia yang bergantung sm lo jg nih. Belum lagi urusan remuknya badan dan emosi atau mental yang kepengaruh hormon kan. No wonder org mikir berkali2.","1787347864546590849","","nan_fyy","in","","0","1","0","https://x.com/nan_fyy/status/1787347864546590849","1679482069628653569","nan_fyy"
"1787080700677755224","Sun May 05 14:14:36 +0000 2024","0","@tanyakanrl Wlpn susah gausahdi denger nanti km stres ngaruh ke hormon. Fokus hidup sehat minum vit buat hamil susu jg. Suami jg suruh hidup sehat sama2 usaha. Semangat siapin mental buat jd orgtua itu ga mudah. Dari hamil smp punya anak bkl trs ada org yg komentar.","1787123735222501512","","sitramdhani","in","introvert/anxiety/ptsd/mdd/bpd","0","0","0","https://x.com/sitramdhani/status/1787123735222501512","1528206451654955008","sitramdhani"
"1782622404755476621","Tue Apr 23 04:25:51 +0000 2024","0","@kimsafsoo Btw mau ingetin untuk siapin psikolog mendekati masa melahirkan. Manfaatnya untuk mendeteksi depresi karena hormon hamil dan mencegah sekaligus mendeteksi awal penyakit mental lainnya setelah melahirkan. Bahkan dengan support terbaik pun ppd dan baby blues tetap bisa terjadi","1782626919865012566","","oceanedesiderio","in","","0","1","0","https://x.com/viviznants/status/1782626919865012566","973826529296896000","viviznants"
"1782397417872388178","Mon Apr 22 13:17:59 +0000 2024","3","@pyureits Ada banyak hormon dan fungsi tubuh perempuan yang mendukung melahirkan. Nyeri melahirkan itu diiringi sama oxytocin dan dopamin yang bawa kebahagiaan. Ini bisa diperingan dengan fungsi otot yang terlatih hamil bisa disupport dengan work out dan mental yang sehat","1782398447087403318","","pyureits","in","","0","2","0","https://x.com/binhh53/status/1782398447087403318","1115956863797870593","binhh53"
"1779477120726782031","Sun Apr 14 11:49:41 +0000 2024","0","Dari pengalamanku ini sangat disadari kalau... waktu recovery ibu pasca hamil &amp; melahirkan itu lama &amp; tidak mudah. Yg berubah bukan cuma bentuk fisik tapi hormon yg mempengaruhi kondisi mental &amp; mood jg. Makanya kembali normalnya pun bertahap ","1779477120726782031","","","in","🏰 Sunda Empire 🏰","0","2","0","https://x.com/belandjar/status/1779477120726782031","81033072","belandjar"
"1764124027541655890","Sun Mar 03 03:01:58 +0000 2024","1","Insight. Pelajaran berharga bagi yg merencanakan memiliki anak. Semua hrs dipersiapkan; selain pengetahuan dan financial mental dan support system juga tdk kalah pentingnya. Meski hormon sedang kacau hingga mempengaruhi mood ibu hamil hrs tetap happy. Jangan sampai menyesal. ","1764124027541655890","","","in","","1","0","2","https://x.com/Teuk_WhoHesty/status/1764124027541655890","1088370316575793152","Teuk_WhoHesty"
"1763775788825051321","Sat Mar 02 11:28:02 +0000 2024","0","@rereik__ @mestyariotedjo Yg paling utama siapin mental. Krn hamil itu psti byk prubahn kyk hormon dll jgn lupa komunikasikan bareng suami. Trs bisa mengelola stres. Krn stres ibu hamil itu sgt mempengaruhi kehamilan. Dan sblm hamil aku &amp; suami bener2 ngerubah pola hidup jd lebih sehat makan makanan-","1763888996848164880","","rereik__","in","","0","1","0","https://x.com/riringkriiing/status/1763888996848164880","131395064","riringkriiing"
