"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1889957299781091804","Thu Feb 13 16:11:41 +0000 2025","2","@ofGerhana @phikimes @9junii @bacottetangga__ Setuju.. Makanya statement saya dibuka dengan maaf banget .. Karna saya ngerti klo di posisi si ibu hamil pasti emosi udh tingkat dewa.. But she must react better for her own mental health in future.. Jalanin kehamilan di penjara karna suami selingkuh itu very depressing lho..","1890071356685115667","","ofGerhana","in","Liverpool, England","0","0","0","https://x.com/JemmyMultazam/status/1890071356685115667","1151677745321005057","JemmyMultazam"
"1889934183826653229","Thu Feb 13 07:06:37 +0000 2025","23","BANGSAT MUAK LIAT TEMEN2 DI IG MAUPUN DI REAL LIFE YANG JADI VOTERS 02 DAN BUTA TULI SAMA KEADAAN SEKARANG (TERMASUK NGELIAT SUAMI AKU FAAAK KENAPA KAMU PILIH 02 BABIIIKKK). TOLONG INI MENGGUNCANG MENTAL IBU HAMIL BANGET ANJIRRRR ","1889934183826653229","","","in","","0","3","1","https://x.com/ichahrnssa/status/1889934183826653229","197660775","ichahrnssa"
"1889809239427916025","Wed Feb 12 22:50:08 +0000 2025","0","1. Haram 2. Perubahan fisik &amp; psikis ibu hamil itu rentan mengalami permasalahan kesehatan mental apalagi dengan kondisi suami yg seperti itu bukankan semakin memberikan stressor?","1889809239427916025","","","in","","0","0","0","https://x.com/Amatomorrow/status/1889809239427916025","1263098956571000841","Amatomorrow"
"1889201510786929070","Tue Feb 11 10:25:31 +0000 2025","0","@tanyakanrl Gue kmrn pas hamil tinggal sama ortu dan ldm sama suami. Mertua baik sih cuman kan kaya sungkan kalo perlu apa2 gitu. Gapapa nder demi mental kamu dan kesehatan janin","1889259463586222379","","tanyakanrl","in","Indonesia","0","0","0","https://x.com/yourppiuw/status/1889259463586222379","845325518","yourppiuw"
"1888542134254412185","Tue Feb 11 09:01:12 +0000 2025","0","@18fesss efek kb suntik 1 bulan itu bener ilang manfaatnya slm 1 tahun. Yauda akhir 2021 nikah 2022 kb awal 2023 udh hamil dan ga ketauan alias tau udh mau 3 bulan aja wkwk. Menunda krn mental saat itu blm siap finansial jg. Intinya after pny anak suami br paham alesan aku nunda knp","1889238243524460753","","callmeevyy","in","Jakarta Capital Region","0","1","0","https://x.com/callmeevyy/status/1889238243524460753","1139215886995214336","callmeevyy"
"1887749508328747197","Fri Feb 07 21:57:23 +0000 2025","0","@tanyarlfes Sama sih. Takut ngga kuat mental. Kecuali pas hamil dan lahiran trus anak usia 3-6 tahun suami aku ngga ldm","1887984023903027364","","tanyarlfes","in","","0","0","0","https://x.com/lvyourselv/status/1887984023903027364","841080997","lvyourselv"
"1885623924291186868","Sat Feb 01 09:39:11 +0000 2025","0","Ntah org keberapa yg merepet dgr alasanku ingin menunda hamil. Gimana ya menurutku sblm hamil semua persiapan harus terpenuhi. Lah ini after nikah masi ngekos tabungan blm byk tp disuruh segera hamil. Yg dia pikir mudah apa mental saat hamil dgn kondisi suami ldm jauh dari rmh","1885623924291186868","","","in","","0","1","0","https://x.com/fluttyfluppy/status/1885623924291186868","1026623396728135680","fluttyfluppy"
"1885246155661226328","Fri Jan 31 08:38:04 +0000 2025","0","Ya wajar aku ada masalah mental. Dulu Mbahjum pas hamil aku masih blm ada persiapan. Anak pertama masih kecil suami sandwich gen jauh dari orang tua. Terus aku mau dibinasakan juga ","1885246155661226328","","","in","","0","1","0","https://x.com/deariiissti/status/1885246155661226328","82834418","deariiissti"
"1883745545229148224","Mon Jan 27 05:15:10 +0000 2025","3","keputusan terbaik adalah menunda kehamilan. banyak org menikah dikeadaan gak siap tapi kalo utk punya anak memang hrs punya kesiapan mental dan finansial yg cukup. alhamdulillah dikasih hamil diwaktu yg tepat. selama hamil ngerasa happy bgt karena suami full support ","1883745545229148224","","","in","Jakarta, Indonesia","0","2","0","https://x.com/candasheyeng/status/1883745545229148224","77927909","candasheyeng"
"1882734275411464466","Sat Jan 25 15:07:13 +0000 2025","1","@tubirfess w gatau harus respon gimana. soalnya thun kemaren gw juga nge gep suami gw selingkuh pas habis lahiran. dan ternyata dia udah selingkuh sejak aku hamil 7 bulan. sebelumnya gw udh punya mental disorder setelah kejadian ini gw makin2 pgn bnuh diri. tp gw sayang anakk bgt","1883169763725316122","","tubirfess","in","","0","0","0","https://x.com/findmy_name/status/1883169763725316122","1572166155539984384","findmy_name"
"1882691250597580959","Sat Jan 25 01:44:35 +0000 2025","68","@mariwpossa Iyess. Makanya ibu hamil dan melahirkan bahkan sampai anak2nya beranjak tumbuh butuh support dr suami dan keluarga lainnya. Karena akan berpengaruh besar pada mental anak2nya juga kelak.","1882967771820310952","","mariwpossa","in","Jakarta","0","1","4","https://x.com/Kecoua_terbang/status/1882967771820310952","2251632476","Kecoua_terbang"
"1882644525060886821","Fri Jan 24 23:04:10 +0000 2025","0","@Sora87659879 @18fesss Jangan ya dek ya... Kalau tau Ibumu karakternya seperti itu better ga gambling dg masa depan rumah tanggamu dek. Bisa ngaruh ke mental pas hamil &amp; melahirkan. FYI saya pernah baby blues &amp; PPD karena lama tinggal serumah dg Ibu yg seperti itu. Untung suami baik &amp; pengertian.","1882927404420837443","","Sora87659879","in","","0","1","0","https://x.com/1anakcukup/status/1882927404420837443","1856151987789983744","1anakcukup"
"1882282041355681966","Thu Jan 23 04:19:44 +0000 2025","0","Pliss pengen banget minggat! Kirain hamil ditungguin suami tuh bikin kita jadi lebih tenang gataunya kata2nya tiap hari bikin sakit hati n mental! Pernah ga sih mikir kalo ibu hamil itu sensitif bgt prasaanya yg kudu banget dijaga biar ga stress. Mana suka silentreatment.sakit!","1882282041355681966","","","in","","0","0","0","https://x.com/jawagadis164/status/1882282041355681966","1816821075600416769","jawagadis164"
"1881597506217455710","Tue Jan 21 06:59:38 +0000 2025","0","Dulu merasa gimana gitu pas denger mbak2 temen kantor yg ngeluh takut hamil lagi padahal punya suami kalau dilihat financial jg ok. Skrng ngalamin sendiri tiap bulan kalau telat mens bawaannya deg2an takut banget hamil. Ternyata semua butuh kesiapan mental melebihi financial ","1881597506217455710","","","in","","0","0","0","https://x.com/Nonaaadm/status/1881597506217455710","518198480","Nonaaadm"
"1881217192152408081","Mon Jan 20 14:12:07 +0000 2025","0","@Unclemage1 lah suami saya gaji 5 juta kak kami masih ngontrak dan saya sdang hamil . itu diliputi rasa tkut tpi bissmillah sya gak akan buat anak sya kekurangan . pelajaran nya stelah mnikah jangan trlalu buru punya anak siapan finansial dan mental dlu","1881343957436879003","","Unclemage1","in","","0","0","0","https://x.com/DRohaima85197/status/1881343957436879003","1859188720425140225","DRohaima85197"
"1880960016750186928","Sun Jan 19 12:46:29 +0000 2025","0","slama awal nikah hamil keguguran hamil lg smpe lahiran gue ga prnh macem macem apalgi kelayapan megang uang lbh aja engga pdhl dsruh jgn kerja. Sosialisasi dibatesin. coba buat warasin diri punya suami NPD tp guenya yg kena mental trs. gue lg fokus ngASIhi aja msh ttp jahat","1880960016750186928","","","in","","0","1","0","https://x.com/febyfamela/status/1880960016750186928","84246233","febyfamela"
"1879829750346105176","Fri Jan 17 09:16:24 +0000 2025","0","@tanyarlfes Suami memang harus punya mental provider. Kasian banget para istri yg sdh capek hamil sakitnya melahirkan capeknya mengurus anak+suami. Masih dsuruh bantu cari nafkah.","1880182372727230866","","tanyarlfes","in","","0","0","0","https://x.com/TiaraTrian78086/status/1880182372727230866","1825366962605785088","TiaraTrian78086"
"1879565506581065790","Wed Jan 15 23:43:54 +0000 2025","0","@tanyarlfes jangan HS sblm nikah please. hamil itu capek menyusui+urus bayi-balita sampe 2 th itu capek mendidik+ngebiayain itu capek.butuh ilmu+kesiapan diri&amp;suami+fisik mental! masih banyak tmp yg hrs dikunjungi mimpi yg hrs diraih.punya anak hny saat SIAP+HALAL!","1879675908845609332","","tanyarlfes","in","Jakarta","0","0","0","https://x.com/_nikenpratiwi/status/1879675908845609332","36536604","_nikenpratiwi"
"1879624173573816566","Wed Jan 15 20:18:19 +0000 2025","0","Riil. Menurut aku punya anak memang perlu biaya mental yang siap dan komitmen yang besar. Dulu aku pernah dikasihani orang karena belum hamil bahkan disindir sama mer*** karena belum punya anak. Padahal aku &amp; suami memang nunda biar siap segalanya . Minimal bisa... (cont).","1879624173573816566","","","in","","0","1","0","https://x.com/dwikhrxo/status/1879624173573816566","93315049","dwikhrxo"
"1879037065553235984","Wed Jan 15 09:59:22 +0000 2025","0","@tanyarlfes Aku jg setahun nikah emg sepakat blm promil krn yg pertama ldr kedua pengen ngabisin waktu (yg menurutku msh muda) buat kerja jalan2 muasin hobi ketiga biar bener2 settle scr finansial dan mental. Sama jg ditanyain kpn hamil tp aku orgnya bodoamat yg kepikiran malah suami","1879468408691175881","","tanyarlfes","in","","0","0","0","https://x.com/rahasiakuajaya/status/1879468408691175881","1547752362638725121","rahasiakuajaya"
"1878704037090263091","Mon Jan 13 07:22:01 +0000 2025","0","Jadi orang tua emg harus siap mental dan fisik. Dulu pas hamil mikir jadi ibu hamil berat banyak ngeluh apalagi jauh dari suami. Ternyata itu nggak seberapa sekarang lg struggle sama mengasihi yg ternyata sesakit ini 1 minggu pertama bener2 stress bgt nangis mulu ","1878704037090263091","","","in","Central Java, Indonesia","0","1","0","https://x.com/ajgcns/status/1878704037090263091","744920302673526784","ajgcns"
"1877683691541172242","Fri Jan 10 11:47:32 +0000 2025","5","Buat ciwi2 yg punya rencana beranak. Pertimbangkan benar2 mau punya brp anak. Punya anak tuh butuh mental sekuat baja. Mampu ga kamu urus anak. Jangan asal homal hamil aja mentang2 punya suami.","1877683691541172242","","","in","","0","4","1","https://x.com/andinicow/status/1877683691541172242","1676626798283751424","andinicow"
